year,report_code,report_name,period_order,revenue,operating_income,profit_before_tax,net_income,current_assets,noncurrent_assets,total_assets,current_liabilities,noncurrent_liabilities,total_liabilities,total_equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash_and_cash_equivalents,accounts_receivable,inventory
2022,11014,3분기보고서,3,431538165878,-4537545073,21782753370,5539768482,1238131620961,1179135140399,2417266761360,419816941884,59039033514,478855975398,1938410785962,71692665701,-58129140809,-54261912482,213745004160,483357095860,274992511932
2022,11011,사업보고서,4,1775846942745,36028967211,94926373488,90592526174,1188897717371,1283830354778,2472728072149,434154259039,30767443664,464921702703,2007806369446,99528971405,15621384581,-65541959310,293036245029,496683358416,275215897889
2023,11013,1분기보고서,1,443047818557,22630010546,35805762630,22278211541,1204330991598,1285539082699,2489870074297,445654219357,48635038797,494289258154,1995580816143,42791269078,-21184276243,4500614700,322717244089,489009395835,276712679462
2023,11012,반기보고서,2,495722476266,27296041160,13743785043,8596769396,1162655701594,1343068094329,2505723795923,430843949245,90977589731,521821538976,1983902256947,56590705040,-84331588769,-12078544106,252523236146,541152567651,263903029091
2023,11014,3분기보고서,3,483063443680,883255315,19313295094,19015313581,1231993801308,1435624578071,2667618379379,529955722758,105576908137,635532630895,2032085748484,85464901928,-143729444444,36071505761,273030971146,562423927503,279427155871
2023,11011,사업보고서,4,1858983759666,56759795062,134539950501,134031517424,1256459307871,1557611214055,2814070521926,583192369256,129145509207,712337878463,2101732643463,144128102312,-199229339280,63246788249,299257957184,558981117083,284758946262
2024,11013,1분기보고서,1,444593457592,577136746,14940561757,10811693128,1244630361254,1556622287769,2801252649023,562112382439,150471588435,712583970874,2088668678149,8677351495,-44414198111,-2853121463,261790170013,540835042776,301103589175
2024,11012,반기보고서,2,528312352203,18542379417,39165580005,31912289535,1320919748361,1564803927720,2885723676081,648644135182,121933970317,770578105499,2115145570582,12879543262,-48241353841,14700154057,279055335976,607354705410,305357077987
2024,11014,3분기보고서,3,598784904117,47577974423,49780400739,35541872451,1309597402477,1616146991595,2925744394072,570483534570,180696568713,751180103283,2174564290789,1066864909,-98288430069,28295932923,229854709595,667946677617,290009951540
2024,11011,사업보고서,4,2067791451854,54880319609,61431869918,55163455235,1360261256866,1581787579768,2942048836634,619136487792,172242338283,791378826075,2150670010559,54601585042,-117369101419,65836367691,306475668968,609128137239,343155941089
2025,11013,1분기보고서,1,491563987277,6419671960,14996945604,10008638224,1426426214740,1564192759318,2990618974058,693398941314,175102224857,868501166171,2122117807887,4917666364,-35206907366,58788538257,335404799991,590060553975,388169610977
2025,11012,반기보고서,2,578987017426,49861015710,51586299165,44001163318,1454880948966,1584098236694,3038979185660,645242085304,179099943625,824342028929,2214637156731,21674503575,-31639717907,37101624007,332449564852,648276082829,377823173459
2025,11014,3분기보고서,3,570013578017,22013818741,35182178128,21169811033,1456142177758,1596849511517,3052991689275,678953303428,157272948988,836226252416,2216765436859,98530185246,-59175999798,10722288951,356851346065,656483871118,337718190526
2025,11011,사업보고서,4,2186637586358,104374493823,222674522488,185318996567,1511630227301,1709295606688,3220925833989,733553439318,125088058925,858641498243,2362284335746,106227395422,-70953767257,8043658039,348564938250,694441735093,372764189868
2026,11013,1분기보고서,1,526779877219,8815193577,28760313613,23367403399,1601281650018,1675672187868,3276953837886,788488830436,148220030864,936708861300,2340244976586,37151310749,-17823416598,17499212810,388913498668,639913399749,437746328201
2026,11012,반기보고서,2,639451698310,66869135267,88374053230,68044447035,1616323867814,1713951661452,3330275529266,712800925107,146481566034,859282491141,2470993038125,81110007587,-35099712097,32320558319,427947466526,680950673651,419982315863
